KE = 13.9819, PE = -2.16111, total = 11.8207
KE = 13.9717, PE = -2.15135, total = 11.8203
KE = 13.9619, PE = -2.14197, total = 11.8199
KE = 13.9525, PE = -2.13296, total = 11.8195
KE = 13.9434, PE = -2.1243, total = 11.8191
KE = 13.9347, PE = -2.116, total = 11.8187
KE = 13.9263, PE = -2.10804, total = 11.8182
KE = 13.9182, PE = -2.10041, total = 11.8178
KE = 13.9105, PE = -2.09311, total = 11.8174
KE = 13.9031, PE = -2.08613, total = 11.8169
KE = 13.896, PE = -2.07947, total = 11.8165
KE = 13.8892, PE = -2.0731, total = 11.8161
KE = 13.8827, PE = -2.06704, total = 11.8156
KE = 13.8765, PE = -2.06126, total = 11.8152
KE = 13.8705, PE = -2.05577, total = 11.8148
KE = 13.8649, PE = -2.05056, total = 11.8143
KE = 13.8595, PE = -2.04562, total = 11.8139
KE = 13.8544, PE = -2.04094, total = 11.8135
KE = 13.8495, PE = -2.03652, total = 11.813
KE = 13.845, PE = -2.03236, total = 11.8126
KE = 13.8406, PE = -2.02844, total = 11.8122
KE = 13.8365, PE = -2.02477, total = 11.8117
KE = 13.8327, PE = -2.02133, total = 11.8113
KE = 13.829, PE = -2.01813, total = 11.8109
KE = 13.8256, PE = -2.01515, total = 11.8105
KE = 13.8225, PE = -2.0124, total = 11.8101
KE = 13.8195, PE = -2.00986, total = 11.8097
KE = 13.8168, PE = -2.00754, total = 11.8093
KE = 13.8143, PE = -2.00542, total = 11.8089
KE = 13.812, PE = -2.00351, total = 11.8085
KE = 13.8099, PE = -2.00181, total = 11.8081
KE = 13.8081, PE = -2.00029, total = 11.8078
KE = 13.8064, PE = -1.99898, total = 11.8074
KE = 13.8049, PE = -1.99785, total = 11.807
KE = 13.8036, PE = -1.9969, total = 11.8067
KE = 13.8025, PE = -1.99614, total = 11.8064
KE = 13.8016, PE = -1.99556, total = 11.806
KE = 13.8009, PE = -1.99516, total = 11.8057
KE = 13.8003, PE = -1.99493, total = 11.8054
KE = 13.8, PE = -1.99487, total = 11.8051
KE = 13.7998, PE = -1.99498, total = 11.8048
KE = 13.7998, PE = -1.99525, total = 11.8046
KE = 13.8, PE = -1.99568, total = 11.8043
KE = 13.8003, PE = -1.99628, total = 11.804
KE = 13.8008, PE = -1.99703, total = 11.8038
KE = 13.8015, PE = -1.99794, total = 11.8036
KE = 13.8024, PE = -1.999, total = 11.8034
KE = 13.8034, PE = -2.00021, total = 11.8032
KE = 13.8046, PE = -2.00157, total = 11.803
KE = 13.8059, PE = -2.00308, total = 11.8028
KE = 13.8074, PE = -2.00473, total = 11.8027
KE = 13.809, PE = -2.00652, total = 11.8025
KE = 13.8108, PE = -2.00846, total = 11.8024
KE = 13.8128, PE = -2.01053, total = 11.8023
KE = 13.8149, PE = -1.96875, total = 11.8462
KE = 13.8181, PE = -1.972, total = 11.8461
KE = 13.8214, PE = -1.97535, total = 11.8461
KE = 13.8249, PE = -1.97882, total = 11.846
KE = 13.8284, PE = -1.98241, total = 11.846
KE = 13.8321, PE = -1.9861, total = 11.846
KE = 13.8359, PE = -1.98991, total = 11.846
KE = 13.8399, PE = -1.99383, total = 11.8461
KE = 13.844, PE = -1.99786, total = 11.8461
KE = 13.8482, PE = -2.002, total = 11.8462
KE = 13.8525, PE = -2.00625, total = 11.8463
KE = 13.857, PE = -2.01061, total = 11.8464
KE = 13.8616, PE = -2.01507, total = 11.8465
KE = 13.8663, PE = -2.01965, total = 11.8467
KE = 13.8712, PE = -2.02434, total = 11.8469
KE = 13.8762, PE = -2.02913, total = 11.847
KE = 13.8813, PE = -2.03403, total = 11.8473
KE = 13.8865, PE = -2.03904, total = 11.8475
KE = 13.8919, PE = -2.04416, total = 11.8477
KE = 13.8974, PE = -2.04938, total = 11.848
KE = 13.903, PE = -2.05472, total = 11.8483
KE = 13.9088, PE = -2.06016, total = 11.8486
KE = 13.9147, PE = -2.06571, total = 11.849
KE = 13.9207, PE = -2.07136, total = 11.8493
KE = 13.9268, PE = -2.07713, total = 11.8497
KE = 13.9331, PE = -2.083, total = 11.8501
KE = 13.9395, PE = -2.08899, total = 11.8505
KE = 13.9461, PE = -2.09508, total = 11.851
KE = 13.9527, PE = -2.10128, total = 11.8515
KE = 13.9596, PE = -2.10759, total = 11.852
KE = 13.9665, PE = -2.11401, total = 11.8525
KE = 13.9736, PE = -2.12054, total = 11.853
KE = 13.9808, PE = -2.12718, total = 11.8536
KE = 13.9881, PE = -2.13393, total = 11.8542
KE = 13.9956, PE = -2.15712, total = 11.8385
KE = 14.0032, PE = -2.16411, total = 11.8391
KE = 14.011, PE = -2.17122, total = 11.8398
KE = 14.0189, PE = -2.17844, total = 11.8405
KE = 14.027, PE = -2.18577, total = 11.8412
KE = 14.0352, PE = -2.19322, total = 11.842
KE = 14.0435, PE = -2.20079, total = 11.8427
KE = 14.052, PE = -2.20847, total = 11.8435
KE = 14.0606, PE = -2.21627, total = 11.8443
KE = 14.0694, PE = -2.22419, total = 11.8452
KE = 14.0783, PE = -2.23223, total = 11.8461
KE = 14.0873, PE = -2.24038, total = 11.847
KE = 14.0965, PE = -2.24866, total = 11.8479
KE = 14.1059, PE = -2.25706, total = 11.8488
KE = 14.1154, PE = -2.26558, total = 11.8498
KE = 14.125, PE = -2.27423, total = 11.8508
KE = 14.1349, PE = -2.283, total = 11.8519
KE = 14.1448, PE = -2.29189, total = 11.8529
KE = 14.1549, PE = -2.30092, total = 11.854
KE = 14.1652, PE = -2.31007, total = 11.8551
KE = 14.1756, PE = -2.31935, total = 11.8563
KE = 14.1862, PE = -2.32876, total = 11.8574
KE = 14.1969, PE = -2.33831, total = 11.8586
KE = 14.2078, PE = -2.34799, total = 11.8599
KE = 14.2189, PE = -2.3578, total = 11.8611
KE = 14.2301, PE = -2.36775, total = 11.8624
KE = 14.2415, PE = -2.37784, total = 11.8637
KE = 14.2531, PE = -2.38806, total = 11.865
KE = 14.2648, PE = -2.39843, total = 11.8664
KE = 14.2767, PE = -2.40894, total = 11.8678
KE = 14.2888, PE = -2.41959, total = 11.8692
KE = 14.3011, PE = -2.43039, total = 11.8707
KE = 14.3135, PE = -2.44133, total = 11.8722
KE = 14.3261, PE = -2.45243, total = 11.8737
KE = 14.3389, PE = -2.46367, total = 11.8752
KE = 14.3518, PE = -2.47507, total = 11.8768
KE = 14.365, PE = -2.48662, total = 11.8784
KE = 14.3783, PE = -2.49833, total = 11.88
KE = 14.3918, PE = -2.51019, total = 11.8817
KE = 14.4056, PE = -2.52222, total = 11.8833
KE = 14.4195, PE = -2.5344, total = 11.8851
KE = 14.4336, PE = -2.54675, total = 11.8868
KE = 14.4479, PE = -2.55927, total = 11.8886
KE = 14.4623, PE = -2.57196, total = 11.8904
KE = 14.477, PE = -2.58481, total = 11.8922
KE = 14.4919, PE = -2.59784, total = 11.8941
KE = 14.507, PE = -2.61105, total = 11.896
KE = 14.5223, PE = -2.62443, total = 11.8979
KE = 14.5378, PE = -2.63799, total = 11.8999
KE = 14.5536, PE = -2.65173, total = 11.9018
KE = 14.5695, PE = -2.66566, total = 11.9039
KE = 14.5857, PE = -2.67977, total = 11.9059
KE = 14.6021, PE = -2.69407, total = 11.908
KE = 14.6187, PE = -2.70857, total = 11.9101
KE = 14.6355, PE = -2.72326, total = 11.9122
KE = 14.6525, PE = -2.73815, total = 11.9144
KE = 14.6698, PE = -2.75323, total = 11.9166
KE = 14.6874, PE = -2.76853, total = 11.9188
KE = 14.7051, PE = -2.78402, total = 11.9211
KE = 14.7231, PE = -2.79973, total = 11.9234
KE = 14.7413, PE = -2.79947, total = 11.9419
KE = 14.7601, PE = -2.81589, total = 11.9442
KE = 14.7791, PE = -2.83253, total = 11.9466
KE = 14.7984, PE = -2.84937, total = 11.949
KE = 14.8179, PE = -2.86644, total = 11.9515
KE = 14.8377, PE = -2.88373, total = 11.9539
KE = 14.8577, PE = -2.90124, total = 11.9565
KE = 14.878, PE = -2.91898, total = 11.959
KE = 14.8985, PE = -2.93695, total = 11.9616
KE = 14.9193, PE = -2.95516, total = 11.9642
